2016-07-25 21:41:54 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 21:41:54 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:41:54 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:41:54 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 21:53:34 Notice: Notice (8): Undefined offset: 0 in [/Users/prakashsaini/Sites/chatroom/tmp/bake/Bake-Element-create-tables-ctp.php, line 8]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
include - ROOT/tmp/bake/Bake-Element-create-tables-ctp.php, line 8
Bake\View\BakeView::_evaluate() - ROOT/vendor/cakephp/bake/src/View/BakeView.php, line 199
Cake\View\View::_render() - CORE/src/View/View.php, line 955
Cake\View\View::_renderElement() - CORE/src/View/View.php, line 1332
Cake\View\View::element() - CORE/src/View/View.php, line 493
include - ROOT/tmp/bake/Bake-config-snapshot-ctp.php, line 37
Bake\View\BakeView::_evaluate() - ROOT/vendor/cakephp/bake/src/View/BakeView.php, line 199
Cake\View\View::_render() - CORE/src/View/View.php, line 955
Bake\View\BakeView::render() - ROOT/vendor/cakephp/bake/src/View/BakeView.php, line 136
Bake\Shell\Task\BakeTemplateTask::generate() - ROOT/vendor/cakephp/bake/src/Shell/Task/BakeTemplateTask.php, line 89
Bake\Shell\Task\SimpleBakeTask::bake() - ROOT/vendor/cakephp/bake/src/Shell/Task/SimpleBakeTask.php, line 99
Migrations\Shell\Task\SimpleMigrationTask::bake() - ROOT/vendor/cakephp/migrations/src/Shell/Task/SimpleMigrationTask.php, line 69
Migrations\Shell\Task\MigrationSnapshotTask::bake() - ROOT/vendor/cakephp/migrations/src/Shell/Task/MigrationSnapshotTask.php, line 42
Bake\Shell\Task\SimpleBakeTask::main() - ROOT/vendor/cakephp/bake/src/Shell/Task/SimpleBakeTask.php, line 85
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 456
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 450
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 221
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 181
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 127
[main] - ROOT/bin/cake.php, line 33



2016-07-25 21:53:34 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 21:53:34 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:53:34 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:53:34 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 21:53:34 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 21:53:34 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:53:34 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:53:34 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 21:56:24 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 21:56:24 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:56:24 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 21:56:24 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 22:00:21 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 22:00:21 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:00:21 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:00:21 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 22:01:29 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 22:01:29 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:01:29 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:01:29 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 22:09:59 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 22:09:59 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:09:59 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:09:59 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 22:10:20 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 22:10:20 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:10:20 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:10:20 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-07-25 22:17:33 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-07-25 22:17:33 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:17:33 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-07-25 22:17:33 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
